index	table_id	annotator_id	premise	hypothesis	label
28	T5	GW0	to be or not to be	Charles Francis Jenkins spent most of his life in Ohio.	1
29	T5	GW0	to be or not to be	Charles Francis Jenkins never saw a motion picture in his lifetime.	2
30	T5	GW2	to be or not to be	Charles Francis Jenkins was born in the 19th century.	0
31	T5	GW2	to be or not to be	Charles Francis Jenkins lived in Ohio until he was 21.	1
32	T5	GW2	to be or not to be	Charles Francis Jenkins never won any medals.	2
33	T5	GW1	to be or not to be	Charles Francis Jenkins received awards for his work in two different centuries.	0
34	T5	GW1	to be or not to be	Charles Francis Jenkins patents were mostly related to electronics.	1
35	T5	GW1	to be or not to be	Charles Francis Jenkins died in the Fall of 1934.	2
36	T6	GW1	to be or not to be	Kansas has been active as a band for over 45 years.	0
37	T6	GW1	to be or not to be	Kansas' band members were happier with MCA as a label than with Inside Out.	1
38	T6	GW1	to be or not to be	Kansas has made music on more than four record labels.	2
39	T6	GW6	to be or not to be	Kansas has been signed to multiple labels.	0
40	T6	GW6	to be or not to be	Kansas is currently signed to the Inside Out label.	1
41	T6	GW6	to be or not to be	Kansas began activities before the seventies.	2
42	T6	GW7	to be or not to be	TheyÕre still together.	0
43	T6	GW7	to be or not to be	They just finished an album.	1
44	T6	GW7	to be or not to be	TheyÕre from Texas.	2
45	T6	GW0	to be or not to be	Kansas have been active for over thirty years.	0
46	T6	GW0	to be or not to be	Kansas the band recorded most of their music in Kansas.	1
47	T6	GW0	to be or not to be	Kansas was formed on the west coast of the United States.	2
48	T7	GW3	to be or not to be	Flicker was released in the autumn of 2017	0
49	T7	GW3	to be or not to be	Flicker was released in London and United States	1
50	T7	GW3	to be or not to be	Flicker was a multi genre album with songs from rock, pop, Jazz, and another genres	2
51	T7	GW1	to be or not to be	Flicker was released in the Fall of 2017.	0
52	T7	GW1	to be or not to be	More of the recording on Flicker was done at Echo Studio than Blackbird Studio.	1
53	T7	GW1	to be or not to be	The time it takes to listen to Flicker is over an hour.	2
54	T7	GW0	to be or not to be	The Flicker album was recorded at multiple studios.	0
55	T7	GW0	to be or not to be	Julian Bunetta was the executive producer of Flicker.	1
56	T7	GW0	to be or not to be	Flicker is less than a year old.	2
57	T8	GW8	to be or not to be	Jeffrey Dahmer was born in Wisconsin.	0
58	T8	GW8	to be or not to be	He was convicted of assault.	1
59	T8	GW8	to be or not to be	He is still in prison for his crimes.	2
60	T8	GW9	to be or not to be	Jeffrey Dahmer was convicted of several crimes.	0
61	T8	GW9	to be or not to be	Jeffrey Dahmer was killed by another prisoner.	1
62	T8	GW9	to be or not to be	Jeffrey Dahmer was released after serving two life terms.	2
63	T8	GW4	to be or not to be	Jeffrey Dahmer was known for killing people.	0
64	T8	GW4	to be or not to be	Jeffrey Dahmer spent his whole life in Wisconsin.	1
65	T8	GW4	to be or not to be	Jeffrey Dahmer was a person that died when they were forty.	2
66	T8	GW0	to be or not to be	Jeffrey Dahmer was under two meters tall.	0
67	T8	GW0	to be or not to be	Jeffrey Dahmer was murdered by a prison guard.	1
68	T8	GW0	to be or not to be	Jeffrey Dahmer was given the death penalty.	2
69	T9	GW10	to be or not to be	Since 1963, Jeffrey Lynne actively engaged in the profession of Musician, singer-songwriter and record producer.	0
70	T9	GW10	to be or not to be	Jeffrey Lynne owns ftmusic.com.	1
71	T9	GW10	to be or not to be	Jeffrey Lynne age is below 70.	2
72	T9	GW5	to be or not to be	Jeffrey Lynne had multiple nicknames.	0
73	T9	GW5	to be or not to be	Jeffrey Lynne toured with George Harrison.	1
74	T9	GW5	to be or not to be	Jeffrey Lynne was signed to a single label throughout his career.	2
75	T9	GW1	to be or not to be	Jeff Lynne was born in the Winter of 1947.	0
76	T9	GW1	to be or not to be	Jeff Lynne preferred making music with United Artists over Sony BMG.	1
77	T9	GW1	to be or not to be	Jeff Lynne has been active in music for more than 60 years.	2
78	T10	GW0	to be or not to be	Born to Run was released in the summer of 1975.	0
79	T10	GW0	to be or not to be	The majority of Born to Run was recorded in 1974.	1
80	T10	GW0	to be or not to be	Born to Run was recorded in a single New York studio.	2
81	T10	GW11	to be or not to be	Born to Run was released in the second half of 1975.	0
82	T10	GW11	to be or not to be	Bruce Springsteen lived in New York City in 1975.	1
83	T10	GW11	to be or not to be	It snowed in NYC the day  Born to Run was released .	2
84	T10	GW1	to be or not to be	It took over a year to record the album Born to Run.	0
85	T10	GW1	to be or not to be	Jon Landau did more producer work than Mike Appel on Born to Run.	1
86	T10	GW1	to be or not to be	The Spring of 1975 is when Born to Run was released.	2
87	T11	GW1	to be or not to be	Jock Lewes likely died while serving in the military.	0
88	T11	GW1	to be or not to be	Jock Lewes would have risen above the rank of Lieutenant had he not died.	1
89	T11	GW1	to be or not to be	Jock Lewes was born in the Spring of 1913.	2
90	T11	GW2	to be or not to be	Jock Lewes fought when Hitler was in power in Germany.	0
91	T11	GW2	to be or not to be	Jock Lewes was killed in war.	1
92	T11	GW2	to be or not to be	Jock Lewes fought in Operation Dessert Storm.	2
93	T11	GW0	to be or not to be	Jock Lewes was in the military for over five years.	0
94	T11	GW0	to be or not to be	Jock Lewes died during Operation Crusader.	1
95	T11	GW0	to be or not to be	Jock Lewes died in his home country.	2
96	T15	GW9	to be or not to be	Peter Benchley worked on both the original story and the screenplay for Jaws.	0
97	T15	GW9	to be or not to be	Production for Jaws occured mostly in the spring of 1975.	1
98	T15	GW9	to be or not to be	Jaws did not break even while in the box office.	2
99	T15	GW4	to be or not to be	The film Jaws came out in the summer of 1975.	0
100	T15	GW4	to be or not to be	The movie Jaws was mostly produced by David Brown.	1
101	T15	GW4	to be or not to be	The film Jaws made only $10 million on release.	2
102	T15	GW1	to be or not to be	Jaws was released in the Summer of 1975.	0
103	T15	GW1	to be or not to be	Carl Gottlieb wrote more of the screenplay to Jaws than Peter Benchley.	1
104	T15	GW1	to be or not to be	Jaws' run time is under two hours long.	2
105	T16	GW3	to be or not to be	Ethiopian Empire had many different capitals in different time periods.	0
106	T16	GW3	to be or not to be	the capital of the Ethiopian empire in 1270 was Gondar.	1
107	T16	GW3	to be or not to be	The Ethiopian Empire is currently a monarchy.	2
108	T16	GW1	to be or not to be	The Ethiopian Empire was admitted to the United Nations just after World War 2.	0
109	T16	GW1	to be or not to be	The Ethiopian Empire will reintroduce a monarch one day.	1
110	T16	GW1	to be or not to be	The Italo-Ethiopian War was late in the 18th century.	2
111	T16	GW0	to be or not to be	Gondar was the capital of Ethiopia for over two hundred years.	0
112	T16	GW0	to be or not to be	Ge'ez is the most common language spoken in Ethiopia.	1
113	T16	GW0	to be or not to be	Mikael Imru was Prime Minister of Ethiopia after Habte Giyorgis	2
114	T18	GW5	to be or not to be	James Paul Marsden was born in the 20th century.	0
115	T18	GW5	to be or not to be	James Paul Marsden preferred singing to acting.	1
116	T18	GW5	to be or not to be	James Paul Marsden was born in the 19th century.	2
117	T18	GW12	to be or not to be	James Marsden was married more than five years.	0
118	T18	GW12	to be or not to be	James Marsden has fewer than four children.	1
119	T18	GW12	to be or not to be	The middle name of James Marsden is Linde.	2
120	T18	GW1	to be or not to be	James Marsden has been acting and modeling for more than 25 years.	0
121	T18	GW1	to be or not to be	James Marsden got divorced due to infidelity.	1
122	T18	GW1	to be or not to be	James Marsden was born in the Spring of 1973.	2
123	T21	GW1	to be or not to be	Christ in the Desert was painted in the latter half of the 19th century.	0
124	T21	GW1	to be or not to be	Ivan Kramskoi thought Christ in the Desert was his best painting yet.	1
125	T21	GW1	to be or not to be	The longer side of the painting is less than 6 feet long.	2
126	T21	GW4	to be or not to be	Christ in the Desert is located in Moscow.	0
127	T21	GW4	to be or not to be	Christ in the Desert was made with oil based paint.	1
128	T21	GW4	to be or not to be	The art piece Christ in the Desert is over six feet tall.	2
129	T21	GW13	to be or not to be	Christ in the Desert was painted by Ivan Kramskoi in the early 1870s.	0
130	T21	GW13	to be or not to be	Ivan Kramskoi lived in Moscow in the 1870s.	1
131	T21	GW13	to be or not to be	Christ in the Desert was sculpted in the 1900s.	2
132	T22	GW1	to be or not to be	Everything, Everything made about 50 million dollars over it's budget.	0
133	T22	GW1	to be or not to be	Everything, Everything was only released in the United States.	1
134	T22	GW1	to be or not to be	Everything, Everything has a run time over two hours long.	2
135	T22	GW9	to be or not to be	Everything, Everything made over six times its budget while in the box office.	0
136	T22	GW9	to be or not to be	Everything, Everything was based on a short story written by Nicola Yoon.	1
137	T22	GW9	to be or not to be	Everything, Everything was over two hours long.	2
138	T22	GW4	to be or not to be	Everything, Everything was a movie that Stella Meghie directed.	0
139	T22	GW4	to be or not to be	The movie Everything, Everything was purchased by Warner Brothers Pictures.	1
140	T22	GW4	to be or not to be	The film Everything, Everything wound up losing money at the box office.	2
141	T23	GW1	to be or not to be	The run time of Jason Bourne is longer than two hours.	0
142	T23	GW1	to be or not to be	David Buckley did more of the music on Jason Bourne than John Powell.	1
143	T23	GW1	to be or not to be	The box office of Jason Bourne was almost 400 million dollars more than the budget.	2
144	T23	GW0	to be or not to be	Jason Bourne is over two hours long in running time.	0
145	T23	GW0	to be or not to be	Paul Greengrass wrote the majority of the Jason Bourne script.	1
146	T23	GW0	to be or not to be	Jason Bourne premiered in the United States before Odeon Leicester Square.	2
147	T23	GW2	to be or not to be	The movie Jason Bourne was released during the summer.	0
148	T23	GW2	to be or not to be	The movie Jason Bourne took 3 months to shoot.	1
149	T23	GW2	to be or not to be	The movie Jason Bourne earned over half a million dollars at the box office.	2
150	T24	GW1	to be or not to be	Jimmy Eat World was formed in the Southwestern United States.	0
151	T24	GW1	to be or not to be	Jimmy Eat World liked making music on Dreamworks more than RCA.	1
152	T24	GW1	to be or not to be	Jimmy Eat World has been a band for more than 30 years.	2
153	T24	GW0	to be or not to be	Jimmy Eat World were founded in the early 1990's.	0
154	T24	GW0	to be or not to be	Jimmy Eat World released most of their albums on Geffen Records.	1
155	T24	GW0	to be or not to be	Jimmy Eat World are from Minnesota.	2
156	T24	GW3	to be or not to be	Jimmy eat world is a band from Arizona which place multiple genres.	0
157	T24	GW3	to be or not to be	Jimmy eat World plays metal.	1
158	T24	GW3	to be or not to be	Jimmy eat world primarily plays classical music.	2
159	T25	GW0	to be or not to be	BTS is from the capital of South Korea.	0
160	T25	GW0	to be or not to be	BTS was founded by the member, Pony Canyon.	1
161	T25	GW0	to be or not to be	BTS are known for country music.	2
162	T25	GW1	to be or not to be	BTS has gone by at least a few different names in the past.	0
163	T25	GW1	to be or not to be	BTS likes recording music on Pony Canyon more than Columbia.	1
164	T25	GW1	to be or not to be	BTS has been a band since the early 2000s.	2
165	T25	GW2	to be or not to be	BTS originated in Asia.	0
166	T25	GW2	to be or not to be	BTS has won 2 world music awards.	1
167	T25	GW2	to be or not to be	BTS has been active for 9 years.	2
168	T27	GW1	to be or not to be	Charlie and the Chocolate Factory brought in close to half a billion dollars at the box office.	0
169	T27	GW1	to be or not to be	Richard D. Zanuck did more as a producer of Charlie and the Chocolate Factory than Brad Grey did.	1
170	T27	GW1	to be or not to be	Charlie and the Chocolate Factory has a run time of more than 2 hours.	2
171	T27	GW2	to be or not to be	Charlie and the Chocolate Factory had more than 2 production companies.	0
172	T27	GW2	to be or not to be	Charlie and the Chocolate Factory was number 1 in theaters the first week it was released.	1
173	T27	GW2	to be or not to be	Charlie and the Chocolate Factory was released at Christmas.	2
174	T27	GW0	to be or not to be	Charlie and the Chocolate Factory is not an original screenplay.	0
175	T27	GW0	to be or not to be	Charlie and the Chocolate Factory grossed more money in the United Kingdom.	1
176	T27	GW0	to be or not to be	The Whole movie budget costed less than 100 million dollars to be made.	2
177	T462	GW4	to be or not to be	Chocolate Starfish and the Hot Dog Flavored Water is an album that came out in the fall of 2000.	0
178	T462	GW4	to be or not to be	Chocolate Starfish and the Hot Dog Flavored Water is an album that is mostly rap music.	1
179	T462	GW4	to be or not to be	The album Chocolate Starfish and the Hot Dog Flavored Water is under an hour in length.	2
180	T462	GW1	to be or not to be	It took about 3 months to record Chocolate Starfish and the Hot Dog Flavored Water.	0
181	T462	GW1	to be or not to be	People associate Chocolate Starfish and the Hot Dog Flavored Water more with rap metal than with Nu metal.	1
182	T462	GW1	to be or not to be	The total run time of all the tracks on Chocolate Starfish and the Hot Dog Flavored Water is less than one hour.	2
183	T462	GW0	to be or not to be	Chocolate Starfish and the Hot Dog Flavored Water was recorded in California.	0
184	T462	GW0	to be or not to be	Chocolate Starfish and the Hot Dog Flavored Water is Terry Date's only production credit.	1
185	T462	GW0	to be or not to be	Chocolate Starfish and the Hot Dog Flavored Water is over eighty minutes long.	2
186	T32	GW2	to be or not to be	John Frusciante was born in the spring.	0
187	T32	GW2	to be or not to be	John Frusciante has played keyboard longer than guitar.	1
188	T32	GW2	to be or not to be	John Frusciante is a Baby Boomer.	2
189	T32	GW0	to be or not to be	John Frusciante has been performing for over twenty years.	0
190	T32	GW0	to be or not to be	John Frusciante is one of the founding members of the Red Hot Chili Peppers.	1
191	T32	GW0	to be or not to be	John Frusciante plays only one instrument.	2
192	T32	GW1	to be or not to be	John Frusciante has made music for more than 30 years.	0
193	T32	GW1	to be or not to be	John Frusciante likes his nickname.	1
194	T32	GW1	to be or not to be	John Frusciante was born in the Summer of 1970.	2
195	T33	GW9	to be or not to be	K2-21c has a temperature of at least 3000K.	0
196	T33	GW9	to be or not to be	K2-21c is 275 light years away.	1
197	T33	GW9	to be or not to be	The size of K2-21c is unknown, but estimated at greater than 1R_.	2
198	T33	GW4	to be or not to be	The star K2-21c is located in the Aquarius constellation.	0
199	T33	GW4	to be or not to be	The star K2-21c is slightly smaller than the Sun.	1
200	T33	GW4	to be or not to be	K2-21c is over 5000 degrees K.	2
201	T33	GW1	to be or not to be	K2-21c is greater than 1 Gyr old.	0
202	T33	GW1	to be or not to be	The temperature of K2-21c is pretty hot relative to other stars.	1
203	T33	GW1	to be or not to be	K2-21 is not 1 Gyr old yet.	2
204	T34	GW1	to be or not to be	One of John Paul Getty III's parents had been knighted.	0
205	T34	GW1	to be or not to be	John Paul Getty III was released from being kidnapped due to a ransom being paid.	1
206	T34	GW1	to be or not to be	John Paul Getty III died in the Fall of 2011.	2
207	T34	GW0	to be or not to be	John Paul Getty III died in a different country than he was born.	0
208	T34	GW0	to be or not to be	John Paul Getty III was kidnapped as a child.	1
209	T34	GW0	to be or not to be	John Paul Getty III has only one sibling.	2
210	T34	GW3	to be or not to be	John Paul Getty III was born in Minnesota.	0
211	T34	GW3	to be or not to be	John Paul Getty III was really kidnapped many times.	1
212	T34	GW3	to be or not to be	John Paul Getty III died on February 5, 2011 (aged 54)	2
213	T1909	GW0	to be or not to be	Sir Hiram Stevens Maxim was born in the northeast part on the United States.	0
214	T1909	GW0	to be or not to be	Sir Hiram Stevens Maxim is credited with inventing the light bulb by some people.	1
215	T1909	GW0	to be or not to be	Sir Hiram Stevens Maxim married Jane Budden after Sarah Haynes.	2
216	T1909	GW14	to be or not to be	Sir Hiram Stevens Maxim had 2 daughters and 1 son.	0
217	T1909	GW14	to be or not to be	Sir Hiram Stevens Maxim's brother was born in Maine.	1
218	T1909	GW14	to be or not to be	Sir Hiram Stevens Maxim was born in the springtime.	2
219	T1909	GW1	to be or not to be	Sir Hiram Stevens Maxim died in the Spring of 1916.	0
220	T1909	GW1	to be or not to be	Sir Hiram Stevens Maxim really did invent the lightbulb.	1
221	T1909	GW1	to be or not to be	Sir Hiram Stevens Maxim never lived in Europe.	2
222	T36	GW1	to be or not to be	Joe Budden has been active for 20 years or more.	0
223	T36	GW1	to be or not to be	Joe Budden prefers the Def Jam label over the Desert Storm one.	1
224	T36	GW1	to be or not to be	Joe Budden was born in the Spring of 1980.	2
225	T36	GW3	to be or not to be	Joe Budden was born in New York	0
226	T36	GW3	to be or not to be	Joe Budden lives in New York	1
227	T36	GW3	to be or not to be	Joe Budden was born in New Jersey	2
228	T36	GW4	to be or not to be	Joe Budden was born in the summer of 1980.	0
229	T36	GW4	to be or not to be	Joe Budden spent the majority of their life rapping.	1
230	T36	GW4	to be or not to be	Joe Budden was born in the western United States.	2
231	T37	GW0	to be or not to be	Chris Cornell died in the United States.	0
232	T37	GW0	to be or not to be	Chris Cornell was the drummer for Soundgarden.	1
233	T37	GW0	to be or not to be	Chris Cornell was active for less than thirty years.	2
234	T37	GW4	to be or not to be	Chris Cornell was born on the west coast of the US.	0
235	T37	GW4	to be or not to be	Chris Cornell had 3 children between two wives.	1
236	T37	GW4	to be or not to be	Chris Cornell was known for playing pop music.	2
237	T37	GW3	to be or not to be	Chris Cornell was a US citizen.	0
238	T37	GW3	to be or not to be	Chris Cornell was mentally ill.	1
239	T37	GW3	to be or not to be	Chris Cornell died from a heart attack.	2
240	T38	GW4	to be or not to be	Chess was created in 500-600 AD.	0
241	T38	GW4	to be or not to be	A game of chess can take half a day to play.	1
242	T38	GW4	to be or not to be	Chess is played with four people.	2
243	T38	GW0	to be or not to be	The game of chess requires more than one player.	0
244	T38	GW0	to be or not to be	Tournament games of chess average two hours.	1
245	T38	GW0	to be or not to be	Chess was invented in the eighteenth century.	2
246	T38	GW9	to be or not to be	Chess was invented well before the year 1000CE.	0
247	T38	GW9	to be or not to be	Chess games last, on average, 30 minutes.	1
248	T38	GW9	to be or not to be	Chess is a game with little mental involvement.	2
249	T39	GW1	to be or not to be	Ernesto Zedillo went to more than one school for college.	0
250	T39	GW1	to be or not to be	Ernesto Zedillo was forced to leave Mexico and go to the US.	1
251	T39	GW1	to be or not to be	Ernesto Zedillo was born in the Spring of 1951.	2
252	T39	GW3	to be or not to be	Ernesto Zedillo is a Mexican politician who is affiliated with the Institutional Revolutionary party	0
253	T39	GW3	to be or not to be	Ernesto Zedillo has permanently moved to the United States	1
254	T39	GW3	to be or not to be	Ernesto Zedillo was born in the peak summer of 1951	2
255	T39	GW2	to be or not to be	Ernesto Zedillo speaks at least 2 languages	0
256	T39	GW2	to be or not to be	Ernesto Zedillo has 2 sons and 3 daughters.	1
257	T39	GW2	to be or not to be	Ernesto Zedillo attended a university in California.	2
258	T41	GW3	to be or not to be	Kaitlin Olson is a female Californian comedian.	0
259	T41	GW3	to be or not to be	Kaitlin Olson has won a best comedian award.	1
260	T41	GW3	to be or not to be	Kaitlin Olson retired in 2010.	2
261	T41	GW1	to be or not to be	Kaitlin Olson was born in the Spring of 1975.	0
262	T41	GW1	to be or not to be	Kaitlin Olson will have another child.	1
263	T41	GW1	to be or not to be	Kaitlin Olson has been acting or performing comedy for over 20 years.	2
264	T41	GW4	to be or not to be	Kaitlin Olson started acting before 2005.	0
265	T41	GW4	to be or not to be	Kaitlin Olson did stand up comedy in the past.	1
266	T41	GW4	to be or not to be	Kaitlin Olson has been married for over twenty years.	2
267	T42	GW2	to be or not to be	The album Everybody is more than an hour long.	0
268	T42	GW2	to be or not to be	The album Everybody was released on vinyl.	1
269	T42	GW2	to be or not to be	The album Everybody contains exactly 10 tracks.	2
270	T42	GW6	to be or not to be	Everybody is over an hour and 10 minutes long.	0
271	T42	GW6	to be or not to be	The producers of Everybody worked separately on each track.	1
272	T42	GW6	to be or not to be	Everybody was released in late 2017.	2
273	T42	GW1	to be or not to be	Everybody has a run time that is over an hour long.	0
274	T42	GW1	to be or not to be	Logic produced more on the album Everybody than Deats.	1
275	T42	GW1	to be or not to be	Everybody was released in the Fall of 2017.	2
276	T44	GW14	to be or not to be	You can listen to the entire album in less than an hour.	0
277	T44	GW14	to be or not to be	Heavy metal fans from England bought this album.	1
278	T44	GW14	to be or not to be	It took more than a year to record the album.	2
279	T44	GW1	to be or not to be	British Steel was released in the Spring of 1980.	0
280	T44	GW1	to be or not to be	Tom Allom didn't due much as producer of British Steel.	1
281	T44	GW1	to be or not to be	British Steel took over 6 months to record.	2
282	T44	GW0	to be or not to be	British Steel was released in spring of 1980.	0
283	T44	GW0	to be or not to be	British Steel is Tom Allom's only production credit.	1
284	T44	GW0	to be or not to be	British Steel was recorded in the summer of 1980.	2
285	T45	GW1	to be or not to be	Jennette McCurdy was born in the Summer of 1992.	0
286	T45	GW1	to be or not to be	Jennette McCurdy has lived in California her whole life.	1
287	T45	GW1	to be or not to be	Jennette McCurdy has been active as a musician since she was 5 years old.	2
288	T45	GW9	to be or not to be	Jennette McCurdy plays a couple musical instruments and sings, as well.	0
289	T45	GW9	to be or not to be	Jennette McCurdy is primarily focused on acting now.	1
290	T45	GW9	to be or not to be	Jennette McCurdy was five years old when she began her musical career.	2
291	T45	GW4	to be or not to be	Jennette McCurdy was born on the west coast of the USA.	0
292	T45	GW4	to be or not to be	Jennette McCurdy has lived her entire life in California.	1
293	T45	GW4	to be or not to be	Jennette McCurdy is known for singing rap music.	2
294	T617	GW3	to be or not to be	Christopher Polhem was born in Sweden.	0
295	T617	GW3	to be or not to be	Christopher Polhem never worked outside Sweden.	1
296	T617	GW3	to be or not to be	Christopher Polhem worked in the field of biology.	2
297	T617	GW1	to be or not to be	Christopher Polhem died in the middle of the 18th century.	0
298	T617	GW1	to be or not to be	Christopher Polhem had more than 2 college degrees.	1
299	T617	GW1	to be or not to be	Christopher Polhem was born in the summer of 1661.	2
300	T617	GW5	to be or not to be	Christopher Polhem resides in Europe.	0
301	T617	GW5	to be or not to be	Christopher Polhem studied physics at Uppsala University.	1
302	T617	GW5	to be or not to be	Christopher Polhem resides in the southern hemisphere.	2
303	T617	GW7	to be or not to be	He was born in 1661	0
304	T617	GW7	to be or not to be	He moved from Sweden	1
305	T617	GW7	to be or not to be	He is still alive	2
306	T49	GW9	to be or not to be	Channing Tatum was born in the spring of 1980.	0
307	T49	GW9	to be or not to be	Channing Tatum has a child on the way.	1
308	T49	GW9	to be or not to be	Channing Tatum was born outside of the US.	2
309	T49	GW2	to be or not to be	Channing Tatum grew up in Alabama.	0
310	T49	GW2	to be or not to be	Channing Tatum has divorced from Jenna Dewan.	1
311	T49	GW2	to be or not to be	Channing Tatum has been acting for more than 30 years.	2
312	T49	GW1	to be or not to be	Channing Tatum has been acting for close to 20 years.	0
313	T49	GW1	to be or not to be	Channing Tatum will have more children.	1
314	T49	GW1	to be or not to be	Channing Tatum was born in the Fall of 1980.	2
315	T50	GW6	to be or not to be	Jesse Plemons was born during the spring.	0
316	T50	GW6	to be or not to be	Jesse Plemons started as a comedian when he was ten.	1
317	T50	GW6	to be or not to be	Jesse Plemons is engaged to a man.	2
318	T50	GW4	to be or not to be	Jesse Plemons is planning to marry Kirsten Dunst.	0
319	T50	GW4	to be or not to be	Jesse Plemons spent most of their life in Texas.	1
320	T50	GW4	to be or not to be	Jesse Plemons is over forty years old	2
321	T50	GW3	to be or not to be	Jesse Plemons acted in comedy films.	0
322	T50	GW3	to be or not to be	Jesse Plemons worked in theatre.	1
323	T50	GW3	to be or not to be	Jesse Plemons was a British actor.	2
324	T51	GW1	to be or not to be	Jennifer Garner has been acting for more than 20 years.	0
325	T51	GW1	to be or not to be	Jennifer Garner divorced Ben Affleck because of cheating.	1
326	T51	GW1	to be or not to be	Jennifer Garner was born in the Fall of 1972.	2
327	T51	GW0	to be or not to be	Jennifer Garner has been married twice.	0
328	T51	GW0	to be or not to be	Jennifer Garner has acted in more films than she has produced.	1
329	T51	GW0	to be or not to be	Jennifer Garner was born in the northwest area of the U.S.	2
330	T51	GW9	to be or not to be	Jennifer Garner kept her given name when she became an actor.	0
331	T51	GW9	to be or not to be	Jennifer Garner had three children with spouse, Ben Affleck.	1
332	T51	GW9	to be or not to be	Jennifer Garner has a PhD in theater from UCLA.	2
333	T2024	GW4	to be or not to be	Usually a hot dog is made of pork, beef, or chicken.	0
334	T2024	GW4	to be or not to be	A typical hot dog is served warmed.	1
335	T2024	GW4	to be or not to be	A hot dog usually has fewer than 100 calories.	2
336	T2024	GW1	to be or not to be	Hot dogs are supposed to be cooked before eating.	0
337	T2024	GW1	to be or not to be	Hot dogs were first eaten in Frankfurt.	1
338	T2024	GW1	to be or not to be	A hot dog has less than 200 kcal per serving.	2
339	T2024	GW5	to be or not to be	Hot dogs contain more than 200 kcal.	0
340	T2024	GW5	to be or not to be	Hot dogs can be made from imitation turkey.	1
341	T2024	GW5	to be or not to be	Hot dogs contain less than 200 kcal.	2
342	T54	GW1	to be or not to be	A minority of Burkina Faso's population identify as Tuareg.	0
343	T54	GW1	to be or not to be	Roch Marc Christian Kabor? will replace Paul Kaba Thieba one day as Burkina Faso's prime minister.	1
344	T54	GW1	to be or not to be	Burkina Faso has more than one official language.	2
345	T54	GW14	to be or not to be	The majority of the Mossi speak French.	1
346	T54	GW14	to be or not to be	There are fewer Senufo people than Tuareg.	2
347	T54	GW4	to be or not to be	Most people in Burkina Faso speak French.	0
348	T54	GW4	to be or not to be	The Mossi ethnic group has the most power in Burkina Faso.	1
349	T54	GW4	to be or not to be	Burkina Faso is controlled by a monarchy.	2
350	T1867	GW4	to be or not to be	The album Invincible was released in the fall of 2001.	0
351	T1867	GW4	to be or not to be	The album Invincible took nearly 4 years to record.	1
352	T1867	GW4	to be or not to be	The album Invincible was less than an hour in length.	2
353	T1867	GW0	to be or not to be	Invincible was recorded at more than one record studio.	0
354	T1867	GW0	to be or not to be	Most of Invincible was recorded in 2000.	1
355	T1867	GW0	to be or not to be	Invincible was produced by two people.	2
356	T1867	GW1	to be or not to be	Invincible took almost four years to record.	0
357	T1867	GW1	to be or not to be	People would classify Invincible as more of a soul album than a Pop album.	1
358	T1867	GW1	to be or not to be	There were over 15 producers on Invincible.	2
359	T591	GW2	to be or not to be	The Chromatics formed in the western U.S.	0
360	T591	GW2	to be or not to be	The Chromatics toured the U.S. in 2010.	1
361	T591	GW2	to be or not to be	The Chromatics are known for playing heavy metal.	2
